"Path ID","Unique ID","Rule ID","Left","Right"
"33","TRS_0_2_20_0","RR-02-00644e6ecc5dbcdc-16-F","1.MNXM741553","1.CMPD_0000000017"
"33","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"33","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"33","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"34","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"34","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"34","TRS_0_2_4_0","RR-02-2273ef0ef17e3e4e-16-F","1.MNXM694","1.CMPD_0000000017"
"34","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"34","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"34","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"35","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"35","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"35","TRS_0_2_4_0","RR-02-2273ef0ef17e3e4e-16-F","1.MNXM694","1.CMPD_0000000017"
"35","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"35","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"35","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"36","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"36","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"36","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"36","TRS_0_2_5_0","RR-02-60d5d3c666b1a383-16-F,RR-02-94d0a6339107509a-16-F","1.CMPD_0000000036","1.CMPD_0000000017"
"36","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"36","TRS_0_3_45_0","RR-02-0953a7e344b5b961-16-F","1.MNXM13:1.MNXM282","1.CMPD_0000000036"
"36","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"37","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"37","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"37","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"37","TRS_0_2_5_0","RR-02-60d5d3c666b1a383-16-F,RR-02-94d0a6339107509a-16-F","1.CMPD_0000000036","1.CMPD_0000000017"
"37","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
